,test_acc,test_f1,num_nodes,num_edges
20%,0.9385964912280702,0.9296782268157778,822.0,403304.0
40%,0.936,0.9303754796299807,1644.0,1628524.0
60%,0.9253333333333333,0.917733813947491,2466.0,3670370.0
80%,0.9763313609467456,0.9746508703079914,3288.0,6536602.0
100%,0.9675850891410048,0.9644900514239048,4110.0,10166504.0
